,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15
Sunday—you,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunset,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Superior,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Supper,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Suppose,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Supposing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Suppression,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Supreme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sure,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Surely,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
Surgeon,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Surmises,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Suspended,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Swackhammer.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Swain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaine,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Swallow,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Swamp,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Swedes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sweet,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Swerve,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Swim,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Swimming,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Swing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Swiss,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sword-Fish,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sydney,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sylla,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Symphony,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Syracuse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Syren,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Syrian,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
System,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T.,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
TABLET,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
TAHITAN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TALBOT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TASHTEGO,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
TELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
THAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
THE,0,0,4,0,0,0,1,2,0,0,0,0,0,0,6
THEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
THIS,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
THOSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TO,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
TRADEMARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Table-Rock,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tahiti,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0
Tahitian,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Tahitians,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tail,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tails,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Take,1,0,0,1,0,1,1,2,1,3,1,1,1,5,0
Taking,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Talk,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Tall,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tall-Spout,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tamerlane,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tanaquil,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tarquin,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Tarshish,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0
Tarsus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tartar,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0
Tartarean,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tartarian,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tash,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0
Tashtego,0,0,0,0,0,5,8,0,8,4,11,5,1,5,6
Tashtego—like,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tattoo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Taurus,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Teeth,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Tekel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tell,2,0,0,0,1,0,0,4,1,0,1,0,0,1,0
Temperance,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tempered,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Temple,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0
Temple.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Teneriffe,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Tennessee,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Terrible,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Terrors,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Tertiary,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Testament,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Texel,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Thames,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0
Thank,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Thanks,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
That,1,1,3,3,3,3,4,14,9,7,9,5,12,7,2
The,16,10,15,22,8,22,37,30,47,49,58,56,74,86,57
Thee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Their,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
Then,1,0,0,5,0,0,4,3,5,8,7,3,5,13,3
There,4,4,3,7,4,5,12,10,16,11,12,6,19,20,7
Thereby,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Therefore,0,0,0,0,0,0,1,3,2,1,3,0,0,0,0
Therein,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
There—still,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Thermes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
These,0,0,1,0,0,0,0,1,1,0,2,3,3,5,2
They,2,1,3,4,3,6,6,3,7,5,9,7,9,6,3
Thine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Think,0,0,0,0,4,1,1,0,0,0,3,0,2,0,0
Thinking,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Thinks,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Third,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Thirdly,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thirty,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
This,1,4,3,2,4,2,7,7,8,6,13,12,18,9,5
Thomas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Thorkill-Hake,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Those,0,0,0,1,0,1,1,0,2,0,0,2,1,1,0
Thou,0,0,0,1,5,4,0,1,2,0,3,2,3,17,0
Though,2,1,0,1,1,0,6,8,8,7,2,6,2,4,0
Thought,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thrasher,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Threading,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Three,0,0,1,0,0,1,0,0,1,0,2,0,0,2,0
Throttling,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Through,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
Throughout,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Throw,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Throwing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thrusted,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thrusting,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Thunder,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0
Thundering,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Thus,0,0,0,4,0,0,4,1,2,5,4,2,2,1,1
Thy,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0
Tic-Dolly-row,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tied,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Tierce,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tiger-lilies—what,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigris,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Till,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Time,1,0,0,0,1,0,1,1,2,0,0,1,1,0,1
Timor,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Tis,0,0,0,0,0,0,1,2,0,0,0,1,1,1,1
Tisbury,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tish,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tistig,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Tit-bit,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Titanic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Titanism,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
To,0,2,1,3,1,2,8,3,4,3,4,8,9,6,5
To-morrow,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Toes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tolland,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Tom,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Tomahawk,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tongatobooarrs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Too,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top-heavy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tophet,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tormentoso,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Towards,0,0,0,0,1,0,0,0,0,1,1,1,0,2,1
Tower,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Tower-hill,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Town-Ho,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0
Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Trades,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Trafalgar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Traitors,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tranque,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Tranquilly,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tranquo,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Transported,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Trap,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trap.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinity,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tropic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tropics,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
True,2,0,0,0,0,1,1,0,0,2,4,1,0,1,0
Truly,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Trumpa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Trumpet,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Truth,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1
Try,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Try-Works,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Try-works,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tudors,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tuileries,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Tumble,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tumbled,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tun,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0
Tunnel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tunnels,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Turk,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0
Turkey—the,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Turkish,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
Turkish-rugged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Turks,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
Turn,0,0,0,0,0,0,0,1,0,4,0,0,1,0,1
Turning,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tusked,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tut,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Twas,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Twenty-four,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Twice,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Twice.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Twill,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Twins,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Twins—that,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Two,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
Tying,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Typhoon,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Typhoons,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Tyre,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
UNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
USE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ultimately,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Um,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Um-m,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Unappalled,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Uncommonly,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Unconsciously,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Under,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Unerringly,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Unfitness,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Unhinge,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Unicorn,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Unicornism,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
United,1,0,0,0,0,0,0,0,0,0,0,1,1,0,13
Unless,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Unlike,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Unmindful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Unobserved,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Unshored,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Until,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Untried,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Unwittingly,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Up,0,0,0,0,0,1,0,1,1,1,0,0,2,4,4
Updated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Upharsin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Upon,1,1,0,4,1,2,0,0,1,5,1,3,3,3,1
Upper,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Uppermost,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Usually,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Utter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
V.,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
V.E._,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VI,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
VIIIth,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VOICE,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
VOYAGE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vacantly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Valparaiso,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Van,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vancouver,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Vanilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Vanity,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Vedas,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Vehemently,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vendome,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Venetian,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Venetianly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Vengeance,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Venice,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Verdes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vermonters,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Versailles,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Very,0,0,0,0,1,1,4,0,1,2,0,1,0,0,0
Vesuvius,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Vice,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Victory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vidocq,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
View,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Vineyard,0,0,0,0,2,2,0,0,1,0,0,0,1,1,0
Vineyarder,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Virgin,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0
Virginia,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Virgo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Virtue,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
Vishnoo,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Vishnu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Vision,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vitus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Volcano,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Volunteers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Von,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Voyage,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Voyages,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
WALTER,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WARRANTIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
WARRANTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
WHALE,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
WHALES—a,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WHALING,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIDOW,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WILL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WILLIS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WITH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WORK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wa-hee,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wafer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Wales,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Walfish,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Walking,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Walks,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wall,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Want,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wants,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wapping,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
War,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Warden,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Warmest,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Was,0,0,0,1,2,0,0,4,1,0,0,1,1,0,0
Washington,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0
Watch,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0
Watching,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Water,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Water-bearer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Watery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Watts,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wave,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Way,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
We,1,0,2,8,2,2,0,3,2,1,4,5,5,5,4
Webster,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Weep,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Welding,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Well,1,0,0,1,9,1,3,6,1,5,6,2,11,9,0
Well.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Wellington,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Were,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
West,0,0,0,1,0,0,1,2,0,0,0,2,2,2,1
Western,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wet,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Whale,0,0,2,0,0,1,24,30,15,21,76,29,31,15,15
Whale-Bones,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Whale-balls,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Whale-bone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Whale-ships,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Whale-teeth,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Whale_,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Whalebone,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Whaleman,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Whalemen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Whaler,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Whales,0,0,0,0,0,0,1,0,0,6,1,5,9,0,0
Whale—Moby,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Whale—a,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Whale—no.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Whale—the,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Whaling,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0
What,7,1,6,7,15,6,14,10,4,9,9,31,20,22,8
Whatever,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Wheelbarrow,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Whelped,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
When,0,3,2,1,4,2,7,1,0,5,7,6,5,7,2
Whence,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Whenever,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Where,2,0,0,1,1,1,1,0,0,5,1,1,2,8,1
Where-away,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Whereas,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0
Wherefore,0,0,0,0,0,1,1,0,0,1,1,3,1,0,0
Wherein,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Whereupon,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Whether,0,1,1,2,0,2,1,1,0,1,3,1,1,0,1
Whew,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Which,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
While,0,0,1,1,0,2,3,2,3,0,3,3,4,3,3
Whilst,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Whisper,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
White,0,0,0,0,0,0,0,29,11,4,6,2,10,13,14
Whitehall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiteness,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Whitsuntide,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Who,1,0,3,2,3,5,4,5,1,2,2,4,3,6,1
Who-e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Whole,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Whom,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Whose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Whosoever,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Why,5,1,0,3,2,4,3,6,4,1,4,1,3,7,3
Wife,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Wild,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Will,0,0,0,0,0,0,1,1,2,2,1,0,0,2,2
William,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Willoughby,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wind,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Winding,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Winds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Windsor,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Windsor.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Winnebago,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Wisdom,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wise,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wish,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
With,5,2,3,4,3,2,5,2,2,6,5,5,7,4,3
Within,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
